latitude,longitude,co2_tonnes
26.350000,80.050000,18441.199219
26.350000,80.050000,18441.199219
26.350000,80.150000,10543.900391
26.350000,80.250000,13043.099609
26.350000,80.350000,57417.300781
26.350000,80.450000,18851.900391
26.350000,80.550000,9178.389648
26.350000,80.650000,13403.299805
26.350000,80.750000,15959.200195
26.350000,80.850000,12389.599609
26.350000,80.950000,36436.500000
26.350000,81.050000,33104.000000
26.350000,81.150000,11184.000000
26.350000,81.250000,15414.599609
26.350000,81.350000,13370.900391
26.350000,81.450000,16313.900391
26.350000,81.550000,17552.199219
26.350000,81.650000,28875.000000
26.350000,81.750000,17871.599609
26.350000,81.850000,18673.099609
26.350000,81.950000,15407.400391
26.350000,82.050000,18972.000000
26.350000,82.150000,25297.099609
26.350000,82.250000,16739.599609
26.350000,82.350000,14236.299805
26.350000,82.450000,17280.400391
26.350000,82.550000,38175.101563
26.350000,83.050000,17909.199219
26.350000,83.150000,9683.570313
26.350000,83.050000,17909.199219
26.350000,83.150000,9683.570313
26.350000,83.250000,10092.500000
26.350000,83.350000,47052.199219
26.350000,83.450000,35870.000000
26.350000,83.550000,24220.800781
26.350000,83.650000,40414.199219
26.350000,83.750000,29230.500000
26.350000,83.850000,37283.800781
26.350000,83.950000,25909.300781
26.350000,84.050000,26698.900391
26.350000,84.150000,34196.898438
26.350000,84.250000,54992.898438
26.350000,84.350000,72917.500000
26.350000,84.450000,59178.898438
26.350000,84.550000,65665.296875
26.350000,84.650000,23477.300781
26.350000,84.750000,33709.199219
26.350000,84.850000,54679.500000
26.350000,84.950000,42518.601563
26.350000,85.050000,32521.699219
26.350000,85.150000,32140.699219
26.350000,85.250000,53398.300781
26.350000,85.350000,59511.601563
26.350000,85.450000,41046.500000
26.350000,85.550000,60801.199219
26.350000,86.050000,133833.000000
26.350000,86.150000,54063.199219
26.350000,86.050000,133833.000000
26.350000,86.150000,54063.199219
26.350000,86.250000,28288.900391
26.350000,86.350000,38090.699219
26.350000,86.450000,36253.898438
26.350000,86.550000,39181.898438
26.350000,86.650000,22112.400391
26.350000,86.750000,15928.099609
26.350000,86.850000,26813.099609
26.350000,86.950000,35989.800781
26.350000,87.050000,31896.900391
26.350000,87.150000,28996.400391
26.350000,87.250000,73047.500000
26.350000,87.350000,32800.601563
26.350000,87.450000,14554.799805
26.350000,87.550000,16082.400391
26.350000,87.650000,19130.699219
26.350000,87.750000,17534.199219
26.350000,87.850000,17864.500000
26.350000,87.950000,98511.398438
26.350000,88.050000,88164.898438
26.350000,88.150000,35419.699219
26.350000,88.250000,16009.200195
26.450000,80.050000,19408.199219
26.450000,80.150000,121693.000000
26.450000,80.250000,4678760.000000
26.450000,80.750000,40948.800781
26.450000,80.850000,50265.601563
26.450000,80.750000,40948.800781
26.450000,80.850000,50265.601563
26.450000,80.950000,15562.700195
26.450000,81.050000,26583.099609
26.450000,81.150000,35987.601563
26.450000,81.250000,14275.400391
26.450000,81.350000,13846.099609
26.450000,81.450000,20475.900391
26.450000,81.550000,117635.000000
26.450000,81.650000,23954.699219
26.450000,81.750000,15739.599609
26.450000,81.850000,16898.500000
26.450000,81.950000,13813.000000
26.450000,82.050000,17230.599609
26.450000,82.150000,18114.300781
26.450000,82.250000,20198.000000
26.450000,82.350000,21456.099609
26.450000,82.450000,35010.101563
26.450000,82.550000,57401.898438
26.450000,82.650000,33836.800781
26.450000,82.750000,58525.800781
26.450000,82.850000,29377.800781
26.450000,82.950000,21755.199219
26.450000,83.050000,14273.799805
26.450000,83.150000,19890.300781
26.450000,83.250000,50635.601563
26.450000,83.350000,29897.199219
26.450000,83.450000,24587.500000
26.450000,83.550000,24910.099609
26.450000,83.650000,41234.601563
26.450000,83.750000,62388.000000
26.450000,83.850000,44738.699219
26.450000,83.950000,29835.699219
26.450000,84.050000,33231.898438
26.450000,84.150000,49280.898438
26.450000,84.250000,70121.296875
26.450000,84.350000,29713.500000
26.450000,84.450000,40730.300781
26.450000,84.550000,19125.400391
26.450000,84.650000,60029.300781
26.450000,84.750000,43786.101563
26.450000,84.850000,28937.699219
26.450000,84.950000,20565.199219
26.450000,85.050000,38366.699219
26.450000,85.150000,40041.101563
26.450000,85.250000,34211.800781
26.450000,85.350000,48862.199219
26.450000,85.450000,42626.500000
26.450000,85.550000,34369.898438
26.450000,85.650000,67979.000000
26.450000,85.750000,48086.800781
26.450000,85.850000,74302.101563
26.450000,85.950000,44202.398438
26.450000,86.050000,41107.800781
26.450000,86.150000,55004.000000
26.450000,86.250000,31762.900391
26.450000,86.350000,38109.800781
26.450000,86.450000,39849.101563
26.450000,86.550000,16294.000000
26.450000,86.650000,16297.700195
26.450000,86.750000,29369.400391
26.450000,86.850000,4292.589844
26.450000,86.950000,14271.299805
26.450000,87.050000,35498.398438
26.450000,87.150000,12728.099609
26.450000,87.250000,111693.000000
26.450000,87.350000,198779.000000
26.450000,87.450000,150368.000000
26.450000,87.550000,9022.190430
26.450000,87.650000,13591.000000
26.450000,87.750000,12288.700195
26.450000,87.850000,66331.796875
26.450000,87.950000,28730.699219
26.450000,88.050000,24918.500000
26.450000,88.150000,25395.400391
26.450000,88.250000,25316.599609
26.550000,80.050000,16182.099609
26.550000,80.150000,12993.900391
26.550000,80.250000,107565.000000
26.550000,80.350000,30103.800781
26.550000,80.450000,169008.000000
26.550000,80.550000,174247.000000
26.550000,80.650000,44665.101563
26.550000,80.750000,11918.700195
26.550000,80.850000,17423.000000
26.550000,80.950000,30782.000000
26.550000,81.050000,20891.699219
26.550000,81.150000,22454.800781
26.550000,81.250000,40559.199219
26.550000,81.350000,21084.400391
26.550000,81.450000,16699.099609
26.550000,81.550000,40138.000000
26.550000,81.650000,17554.599609
26.550000,81.750000,20518.099609
26.550000,81.850000,22406.400391
26.550000,81.950000,14281.500000
26.550000,82.050000,15241.900391
26.550000,82.150000,18324.800781
26.550000,82.250000,16795.599609
26.550000,82.350000,41650.500000
26.550000,82.450000,43547.199219
26.550000,82.550000,803336.000000
26.550000,82.650000,9418010.000000
26.550000,82.750000,20470.000000
26.550000,82.850000,26348.500000
26.550000,82.950000,35205.000000
26.550000,83.050000,40664.699219
26.550000,83.150000,42880.699219
26.550000,83.250000,43735.800781
26.550000,83.350000,28861.199219
26.550000,83.450000,19612.199219
26.550000,83.550000,19515.000000
26.550000,83.650000,31497.800781
26.550000,83.750000,78383.000000
26.550000,83.850000,42840.800781
26.550000,83.950000,22397.900391
26.550000,84.050000,28325.400391
26.550000,84.150000,42758.000000
26.550000,84.250000,46547.898438
26.550000,84.350000,35835.199219
26.550000,84.450000,8815.790039
26.550000,84.550000,19375.400391
26.550000,84.650000,62743.101563
26.550000,84.750000,37079.601563
26.550000,84.850000,39232.898438
26.550000,84.950000,21522.400391
26.550000,85.050000,44514.398438
26.550000,85.150000,36262.699219
26.550000,85.250000,40995.000000
26.550000,85.350000,48620.699219
26.550000,85.450000,51220.601563
26.550000,85.550000,64934.300781
26.550000,85.650000,50043.601563
26.550000,85.750000,37473.500000
26.550000,85.850000,50333.199219
26.550000,85.950000,20489.599609
26.550000,86.050000,26960.500000
26.550000,86.150000,34635.199219
26.550000,86.250000,29502.800781
26.550000,86.350000,26211.800781
26.550000,86.450000,31167.400391
26.550000,86.550000,29103.099609
26.550000,86.650000,15351.400391
26.550000,86.750000,22193.099609
26.550000,86.850000,23039.300781
26.550000,86.950000,36831.699219
26.550000,87.050000,43870.000000
26.550000,87.150000,30294.599609
26.550000,87.250000,506743.000000
26.550000,87.350000,82972.703125
26.550000,87.450000,12346.799805
26.550000,87.550000,6687.330078
26.550000,87.650000,6860.459961
26.550000,87.750000,71034.898438
26.550000,87.850000,3753.899902
26.550000,87.950000,106173.000000
26.550000,88.050000,116821.000000
26.550000,88.150000,19676.500000
26.550000,88.250000,14841.000000
26.650000,80.050000,27985.699219
26.650000,80.150000,39128.699219
26.650000,80.250000,68103.101563
26.650000,80.350000,26447.699219
